resume_id,name,job_title,skills,education,experience_years,projects,certifications,resume_text
RES_0010,Candidate_10,System Administrator,"['REST APIs', 'Python', 'Git', 'NumPy']",PhD in Engineering,10,"['Project_0_10', 'Project_1_10', 'Project_2_10', 'Project_3_10']",[],"Name: Candidate_10
            Target Position: System Administrator
            Summary: Experienced professional with 10 years in the tech industry.
            Skills: REST APIs, Python, Git, NumPy
            Education: PhD in Engineering
            Experience: 10 years
            Projects: Project_0_10, Project_1_10, Project_2_10, Project_3_10
            Certifications: None"
RES_0011,Candidate_11,System Administrator,"['PostgreSQL', 'MongoDB', 'Node.js', 'Git', 'REST APIs', 'Docker', 'Kubernetes', 'PyTorch']",Bachelor's in Statistics,5,"['Project_0_11', 'Project_1_11', 'Project_2_11', 'Project_3_11']","['PMP', 'TensorFlow Developer']","Name: Candidate_11
            Target Position: System Administrator
            Summary: Experienced professional with 5 years in the tech industry.
            Skills: PostgreSQL, MongoDB, Node.js, Git, REST APIs, Docker, Kubernetes, PyTorch
            Education: Bachelor's in Statistics
            Experience: 5 years
            Projects: Project_0_11, Project_1_11, Project_2_11, Project_3_11
            Certifications: PMP, TensorFlow Developer"
RES_0012,Candidate_12,Backend Developer,"['Git', 'React', 'Python', 'CI/CD']",PhD in Statistics,13,"['Project_0_12', 'Project_1_12', 'Project_2_12']","['TensorFlow Developer', 'AWS Certified']","Name: Candidate_12
            Target Position: Backend Developer
            Summary: Experienced professional with 13 years in the tech industry.
            Skills: Git, React, Python, CI/CD
            Education: PhD in Statistics
            Experience: 13 years
            Projects: Project_0_12, Project_1_12, Project_2_12
            Certifications: TensorFlow Developer, AWS Certified"
RES_0013,Candidate_13,QA Engineer,"['Python', 'Docker', 'Node.js', 'Pandas', 'AWS']",Master's in Statistics,15,"['Project_0_13', 'Project_1_13', 'Project_2_13', 'Project_3_13', 'Project_4_13']",['Azure Certified'],"Name: Candidate_13
            Target Position: QA Engineer
            Summary: Experienced professional with 15 years in the tech industry.
            Skills: Python, Docker, Node.js, Pandas, AWS
            Education: Master's in Statistics
            Experience: 15 years
            Projects: Project_0_13, Project_1_13, Project_2_13, Project_3_13, Project_4_13
            Certifications: Azure Certified"
RES_0014,Candidate_14,Backend Developer,"['NumPy', 'PostgreSQL', 'GraphQL', 'Git']",Master's in Statistics,6,['Project_0_14'],['PMP'],"Name: Candidate_14
            Target Position: Backend Developer
            Summary: Experienced professional with 6 years in the tech industry.
            Skills: NumPy, PostgreSQL, GraphQL, Git
            Education: Master's in Statistics
            Experience: 6 years
            Projects: Project_0_14
            Certifications: PMP"
RES_0015,Candidate_15,Backend Developer,"['MongoDB', 'GraphQL', 'CI/CD', 'REST APIs']",Bachelor's in Statistics,10,"['Project_0_15', 'Project_1_15', 'Project_2_15', 'Project_3_15']",[],"Name: Candidate_15
            Target Position: Backend Developer
            Summary: Experienced professional with 10 years in the tech industry.
            Skills: MongoDB, GraphQL, CI/CD, REST APIs
            Education: Bachelor's in Statistics
            Experience: 10 years
            Projects: Project_0_15, Project_1_15, Project_2_15, Project_3_15
            Certifications: None"
RES_0016,Candidate_16,Business Analyst,"['REST APIs', 'Agile', 'PostgreSQL', 'Python', 'GraphQL', 'CI/CD', 'TensorFlow']",Bachelor's in Physics,15,"['Project_0_16', 'Project_1_16', 'Project_2_16', 'Project_3_16', 'Project_4_16']","['Scrum Master', 'TensorFlow Developer']","Name: Candidate_16
            Target Position: Business Analyst
            Summary: Experienced professional with 15 years in the tech industry.
            Skills: REST APIs, Agile, PostgreSQL, Python, GraphQL, CI/CD, TensorFlow
            Education: Bachelor's in Physics
            Experience: 15 years
            Projects: Project_0_16, Project_1_16, Project_2_16, Project_3_16, Project_4_16
            Certifications: Scrum Master, TensorFlow Developer"
RES_0017,Candidate_17,Machine Learning Engineer,"['Git', 'CI/CD', 'NumPy', 'PostgreSQL', 'Java', 'React', 'AWS']",Bachelor's in Mathematics,8,['Project_0_17'],['Scrum Master'],"Name: Candidate_17
            Target Position: Machine Learning Engineer
            Summary: Experienced professional with 8 years in the tech industry.
            Skills: Git, CI/CD, NumPy, PostgreSQL, Java, React, AWS
            Education: Bachelor's in Mathematics
            Experience: 8 years
            Projects: Project_0_17
            Certifications: Scrum Master"
RES_0018,Candidate_18,Data Analyst,"['Pandas', 'Agile', 'MongoDB', 'Git']",Master's in Mathematics,2,"['Project_0_18', 'Project_1_18']","['Google Cloud Certified', 'Azure Certified', 'PMP']","Name: Candidate_18
            Target Position: Data Analyst
            Summary: Experienced professional with 2 years in the tech industry.
            Skills: Pandas, Agile, MongoDB, Git
            Education: Master's in Mathematics
            Experience: 2 years
            Projects: Project_0_18, Project_1_18
            Certifications: Google Cloud Certified, Azure Certified, PMP"
RES_0019,Candidate_19,System Administrator,"['SQL', 'Docker', 'Kubernetes', 'Python', 'CI/CD', 'REST APIs']",PhD in Statistics,13,['Project_0_19'],[],"Name: Candidate_19
            Target Position: System Administrator
            Summary: Experienced professional with 13 years in the tech industry.
            Skills: SQL, Docker, Kubernetes, Python, CI/CD, REST APIs
            Education: PhD in Statistics
            Experience: 13 years
            Projects: Project_0_19
            Certifications: None"
RES_0020,Candidate_20,Machine Learning Engineer,"['SQL', 'Java', 'NumPy', 'REST APIs', 'Agile', 'React']",PhD in Computer Science,8,['Project_0_20'],[],"Name: Candidate_20
            Target Position: Machine Learning Engineer
            Summary: Experienced professional with 8 years in the tech industry.
            Skills: SQL, Java, NumPy, REST APIs, Agile, React
            Education: PhD in Computer Science
            Experience: 8 years
            Projects: Project_0_20
            Certifications: None"
RES_0021,Candidate_21,Backend Developer,"['CI/CD', 'Pandas', 'Python', 'React', 'Node.js', 'REST APIs', 'GraphQL']",Master's in Statistics,4,['Project_0_21'],['Scrum Master'],"Name: Candidate_21
            Target Position: Backend Developer
            Summary: Experienced professional with 4 years in the tech industry.
            Skills: CI/CD, Pandas, Python, React, Node.js, REST APIs, GraphQL
            Education: Master's in Statistics
            Experience: 4 years
            Projects: Project_0_21
            Certifications: Scrum Master"
RES_0022,Candidate_22,Data Scientist,"['NumPy', 'SQL', 'JavaScript', 'Node.js', 'PyTorch', 'CI/CD', 'MongoDB']",PhD in Statistics,12,['Project_0_22'],"['PMP', 'AWS Certified']","Name: Candidate_22
            Target Position: Data Scientist
            Summary: Experienced professional with 12 years in the tech industry.
            Skills: NumPy, SQL, JavaScript, Node.js, PyTorch, CI/CD, MongoDB
            Education: PhD in Statistics
            Experience: 12 years
            Projects: Project_0_22
            Certifications: PMP, AWS Certified"
RES_0023,Candidate_23,Full Stack Developer,"['MongoDB', 'REST APIs', 'Docker', 'Kubernetes', 'Node.js']",PhD in Engineering,4,"['Project_0_23', 'Project_1_23']",['Azure Certified'],"Name: Candidate_23
            Target Position: Full Stack Developer
            Summary: Experienced professional with 4 years in the tech industry.
            Skills: MongoDB, REST APIs, Docker, Kubernetes, Node.js
            Education: PhD in Engineering
            Experience: 4 years
            Projects: Project_0_23, Project_1_23
            Certifications: Azure Certified"
RES_0024,Candidate_24,Frontend Developer,"['Agile', 'React', 'SQL', 'Python', 'Docker', 'Kubernetes']",Bachelor's in Computer Science,9,"['Project_0_24', 'Project_1_24']","['AWS Certified', 'Google Cloud Certified', 'TensorFlow Developer']","Name: Candidate_24
            Target Position: Frontend Developer
            Summary: Experienced professional with 9 years in the tech industry.
            Skills: Agile, React, SQL, Python, Docker, Kubernetes
            Education: Bachelor's in Computer Science
            Experience: 9 years
            Projects: Project_0_24, Project_1_24
            Certifications: AWS Certified, Google Cloud Certified, TensorFlow Developer"
RES_0025,Candidate_25,Data Analyst,"['AWS', 'Java', 'PyTorch', 'Pandas', 'Agile', 'Node.js', 'React', 'Git']",Bachelor's in Mathematics,2,"['Project_0_25', 'Project_1_25', 'Project_2_25', 'Project_3_25']",[],"Name: Candidate_25
            Target Position: Data Analyst
            Summary: Experienced professional with 2 years in the tech industry.
            Skills: AWS, Java, PyTorch, Pandas, Agile, Node.js, React, Git
            Education: Bachelor's in Mathematics
            Experience: 2 years
            Projects: Project_0_25, Project_1_25, Project_2_25, Project_3_25
            Certifications: None"
RES_0026,Candidate_26,Business Analyst,"['Pandas', 'React', 'PyTorch', 'CI/CD', 'JavaScript', 'MongoDB', 'AWS']",Bachelor's in Mathematics,1,"['Project_0_26', 'Project_1_26', 'Project_2_26', 'Project_3_26']","['PMP', 'Google Cloud Certified']","Name: Candidate_26
            Target Position: Business Analyst
            Summary: Experienced professional with 1 years in the tech industry.
            Skills: Pandas, React, PyTorch, CI/CD, JavaScript, MongoDB, AWS
            Education: Bachelor's in Mathematics
            Experience: 1 years
            Projects: Project_0_26, Project_1_26, Project_2_26, Project_3_26
            Certifications: PMP, Google Cloud Certified"
RES_0027,Candidate_27,Full Stack Developer,"['AWS', 'Kubernetes', 'TensorFlow', 'PostgreSQL', 'GraphQL', 'Pandas']",PhD in Statistics,1,"['Project_0_27', 'Project_1_27', 'Project_2_27']",[],"Name: Candidate_27
            Target Position: Full Stack Developer
            Summary: Experienced professional with 1 years in the tech industry.
            Skills: AWS, Kubernetes, TensorFlow, PostgreSQL, GraphQL, Pandas
            Education: PhD in Statistics
            Experience: 1 years
            Projects: Project_0_27, Project_1_27, Project_2_27
            Certifications: None"
RES_0028,Candidate_28,UX Designer,"['PostgreSQL', 'REST APIs', 'AWS', 'GraphQL']",Master's in Physics,15,"['Project_0_28', 'Project_1_28', 'Project_2_28', 'Project_3_28', 'Project_4_28']","['Scrum Master', 'TensorFlow Developer']","Name: Candidate_28
            Target Position: UX Designer
            Summary: Experienced professional with 15 years in the tech industry.
            Skills: PostgreSQL, REST APIs, AWS, GraphQL
            Education: Master's in Physics
            Experience: 15 years
            Projects: Project_0_28, Project_1_28, Project_2_28, Project_3_28, Project_4_28
            Certifications: Scrum Master, TensorFlow Developer"
RES_0029,Candidate_29,Business Analyst,"['SQL', 'Python', 'Agile', 'REST APIs', 'React', 'Node.js', 'PostgreSQL', 'MongoDB']",Master's in Physics,2,"['Project_0_29', 'Project_1_29']","['Scrum Master', 'PMP', 'TensorFlow Developer']","Name: Candidate_29
            Target Position: Business Analyst
            Summary: Experienced professional with 2 years in the tech industry.
            Skills: SQL, Python, Agile, REST APIs, React, Node.js, PostgreSQL, MongoDB
            Education: Master's in Physics
            Experience: 2 years
            Projects: Project_0_29, Project_1_29
            Certifications: Scrum Master, PMP, TensorFlow Developer"
RES_0030,Candidate_30,Business Analyst,"['Agile', 'Node.js', 'Java', 'Pandas']",Master's in Statistics,3,"['Project_0_30', 'Project_1_30', 'Project_2_30', 'Project_3_30', 'Project_4_30']","['TensorFlow Developer', 'AWS Certified', 'Azure Certified']","Name: Candidate_30
            Target Position: Business Analyst
            Summary: Experienced professional with 3 years in the tech industry.
            Skills: Agile, Node.js, Java, Pandas
            Education: Master's in Statistics
            Experience: 3 years
            Projects: Project_0_30, Project_1_30, Project_2_30, Project_3_30, Project_4_30
            Certifications: TensorFlow Developer, AWS Certified, Azure Certified"
RES_0031,Candidate_31,Data Scientist,"['GraphQL', 'Agile', 'Pandas', 'MongoDB', 'Node.js', 'REST APIs', 'Kubernetes']",Bachelor's in Engineering,15,"['Project_0_31', 'Project_1_31', 'Project_2_31', 'Project_3_31', 'Project_4_31']","['Azure Certified', 'Google Cloud Certified', 'TensorFlow Developer']","Name: Candidate_31
            Target Position: Data Scientist
            Summary: Experienced professional with 15 years in the tech industry.
            Skills: GraphQL, Agile, Pandas, MongoDB, Node.js, REST APIs, Kubernetes
            Education: Bachelor's in Engineering
            Experience: 15 years
            Projects: Project_0_31, Project_1_31, Project_2_31, Project_3_31, Project_4_31
            Certifications: Azure Certified, Google Cloud Certified, TensorFlow Developer"
RES_0032,Candidate_32,Software Engineer,"['NumPy', 'TensorFlow', 'Git', 'Node.js']",Bachelor's in Statistics,6,"['Project_0_32', 'Project_1_32', 'Project_2_32', 'Project_3_32', 'Project_4_32']",['Scrum Master'],"Name: Candidate_32
            Target Position: Software Engineer
            Summary: Experienced professional with 6 years in the tech industry.
            Skills: NumPy, TensorFlow, Git, Node.js
            Education: Bachelor's in Statistics
            Experience: 6 years
            Projects: Project_0_32, Project_1_32, Project_2_32, Project_3_32, Project_4_32
            Certifications: Scrum Master"
RES_0033,Candidate_33,QA Engineer,"['PyTorch', 'AWS', 'CI/CD', 'NumPy', 'Git', 'SQL', 'Docker', 'REST APIs']",Bachelor's in Physics,3,"['Project_0_33', 'Project_1_33', 'Project_2_33']",[],"Name: Candidate_33
            Target Position: QA Engineer
            Summary: Experienced professional with 3 years in the tech industry.
            Skills: PyTorch, AWS, CI/CD, NumPy, Git, SQL, Docker, REST APIs
            Education: Bachelor's in Physics
            Experience: 3 years
            Projects: Project_0_33, Project_1_33, Project_2_33
            Certifications: None"
RES_0034,Candidate_34,Data Analyst,"['Git', 'Java', 'NumPy', 'SQL', 'MongoDB', 'REST APIs']",Bachelor's in Engineering,13,"['Project_0_34', 'Project_1_34', 'Project_2_34']",['Google Cloud Certified'],"Name: Candidate_34
            Target Position: Data Analyst
            Summary: Experienced professional with 13 years in the tech industry.
            Skills: Git, Java, NumPy, SQL, MongoDB, REST APIs
            Education: Bachelor's in Engineering
            Experience: 13 years
            Projects: Project_0_34, Project_1_34, Project_2_34
            Certifications: Google Cloud Certified"
RES_0035,Candidate_35,System Administrator,"['Node.js', 'SQL', 'Pandas', 'Agile', 'PyTorch', 'Kubernetes', 'JavaScript', 'Git']",Master's in Computer Science,3,"['Project_0_35', 'Project_1_35', 'Project_2_35', 'Project_3_35', 'Project_4_35']",['AWS Certified'],"Name: Candidate_35
            Target Position: System Administrator
            Summary: Experienced professional with 3 years in the tech industry.
            Skills: Node.js, SQL, Pandas, Agile, PyTorch, Kubernetes, JavaScript, Git
            Education: Master's in Computer Science
            Experience: 3 years
            Projects: Project_0_35, Project_1_35, Project_2_35, Project_3_35, Project_4_35
            Certifications: AWS Certified"
RES_0036,Candidate_36,Machine Learning Engineer,"['TensorFlow', 'AWS', 'PostgreSQL', 'Kubernetes', 'Pandas', 'Node.js', 'Python']",Bachelor's in Computer Science,4,"['Project_0_36', 'Project_1_36', 'Project_2_36', 'Project_3_36']",[],"Name: Candidate_36
            Target Position: Machine Learning Engineer
            Summary: Experienced professional with 4 years in the tech industry.
            Skills: TensorFlow, AWS, PostgreSQL, Kubernetes, Pandas, Node.js, Python
            Education: Bachelor's in Computer Science
            Experience: 4 years
            Projects: Project_0_36, Project_1_36, Project_2_36, Project_3_36
            Certifications: None"
RES_0037,Candidate_37,UX Designer,"['React', 'AWS', 'Pandas', 'JavaScript', 'MongoDB', 'PyTorch', 'Git']",Bachelor's in Engineering,11,"['Project_0_37', 'Project_1_37']","['AWS Certified', 'Google Cloud Certified']","Name: Candidate_37
            Target Position: UX Designer
            Summary: Experienced professional with 11 years in the tech industry.
            Skills: React, AWS, Pandas, JavaScript, MongoDB, PyTorch, Git
            Education: Bachelor's in Engineering
            Experience: 11 years
            Projects: Project_0_37, Project_1_37
            Certifications: AWS Certified, Google Cloud Certified"
RES_0038,Candidate_38,Backend Developer,"['PyTorch', 'React', 'SQL', 'Python', 'GraphQL', 'Java']",Bachelor's in Computer Science,6,"['Project_0_38', 'Project_1_38', 'Project_2_38', 'Project_3_38', 'Project_4_38']","['PMP', 'AWS Certified']","Name: Candidate_38
            Target Position: Backend Developer
            Summary: Experienced professional with 6 years in the tech industry.
            Skills: PyTorch, React, SQL, Python, GraphQL, Java
            Education: Bachelor's in Computer Science
            Experience: 6 years
            Projects: Project_0_38, Project_1_38, Project_2_38, Project_3_38, Project_4_38
            Certifications: PMP, AWS Certified"
RES_0039,Candidate_39,UX Designer,"['Java', 'Node.js', 'Agile', 'TensorFlow']",Master's in Physics,8,"['Project_0_39', 'Project_1_39', 'Project_2_39', 'Project_3_39']",[],"Name: Candidate_39
            Target Position: UX Designer
            Summary: Experienced professional with 8 years in the tech industry.
            Skills: Java, Node.js, Agile, TensorFlow
            Education: Master's in Physics
            Experience: 8 years
            Projects: Project_0_39, Project_1_39, Project_2_39, Project_3_39
            Certifications: None"
RES_0040,Candidate_40,Backend Developer,"['TensorFlow', 'CI/CD', 'NumPy', 'PostgreSQL', 'React', 'Agile']",Bachelor's in Mathematics,0,"['Project_0_40', 'Project_1_40']","['AWS Certified', 'Scrum Master']","Name: Candidate_40
            Target Position: Backend Developer
            Summary: Experienced professional with 0 years in the tech industry.
            Skills: TensorFlow, CI/CD, NumPy, PostgreSQL, React, Agile
            Education: Bachelor's in Mathematics
            Experience: 0 years
            Projects: Project_0_40, Project_1_40
            Certifications: AWS Certified, Scrum Master"
RES_0041,Candidate_41,Frontend Developer,"['AWS', 'NumPy', 'Pandas']",PhD in Statistics,15,"['Project_0_41', 'Project_1_41', 'Project_2_41']","['PMP', 'AWS Certified']","Name: Candidate_41
            Target Position: Frontend Developer
            Summary: Experienced professional with 15 years in the tech industry.
            Skills: AWS, NumPy, Pandas
            Education: PhD in Statistics
            Experience: 15 years
            Projects: Project_0_41, Project_1_41, Project_2_41
            Certifications: PMP, AWS Certified"
RES_0042,Candidate_42,System Administrator,"['PyTorch', 'AWS', 'Python', 'Docker']",Bachelor's in Computer Science,8,"['Project_0_42', 'Project_1_42', 'Project_2_42', 'Project_3_42', 'Project_4_42']",['AWS Certified'],"Name: Candidate_42
            Target Position: System Administrator
            Summary: Experienced professional with 8 years in the tech industry.
            Skills: PyTorch, AWS, Python, Docker
            Education: Bachelor's in Computer Science
            Experience: 8 years
            Projects: Project_0_42, Project_1_42, Project_2_42, Project_3_42, Project_4_42
            Certifications: AWS Certified"
RES_0043,Candidate_43,Business Analyst,"['React', 'NumPy', 'AWS', 'PostgreSQL', 'Java', 'Docker']",Bachelor's in Engineering,7,"['Project_0_43', 'Project_1_43', 'Project_2_43', 'Project_3_43']","['Azure Certified', 'TensorFlow Developer', 'PMP']","Name: Candidate_43
            Target Position: Business Analyst
            Summary: Experienced professional with 7 years in the tech industry.
            Skills: React, NumPy, AWS, PostgreSQL, Java, Docker
            Education: Bachelor's in Engineering
            Experience: 7 years
            Projects: Project_0_43, Project_1_43, Project_2_43, Project_3_43
            Certifications: Azure Certified, TensorFlow Developer, PMP"
RES_0044,Candidate_44,Software Engineer,"['SQL', 'Java', 'CI/CD', 'NumPy', 'Docker', 'Pandas', 'JavaScript', 'TensorFlow']",Bachelor's in Statistics,0,"['Project_0_44', 'Project_1_44', 'Project_2_44', 'Project_3_44']","['Azure Certified', 'TensorFlow Developer', 'Scrum Master']","Name: Candidate_44
            Target Position: Software Engineer
            Summary: Experienced professional with 0 years in the tech industry.
            Skills: SQL, Java, CI/CD, NumPy, Docker, Pandas, JavaScript, TensorFlow
            Education: Bachelor's in Statistics
            Experience: 0 years
            Projects: Project_0_44, Project_1_44, Project_2_44, Project_3_44
            Certifications: Azure Certified, TensorFlow Developer, Scrum Master"
RES_0045,Candidate_45,Machine Learning Engineer,"['REST APIs', 'Docker', 'Python']",Bachelor's in Mathematics,2,['Project_0_45'],"['Scrum Master', 'Azure Certified']","Name: Candidate_45
            Target Position: Machine Learning Engineer
            Summary: Experienced professional with 2 years in the tech industry.
            Skills: REST APIs, Docker, Python
            Education: Bachelor's in Mathematics
            Experience: 2 years
            Projects: Project_0_45
            Certifications: Scrum Master, Azure Certified"
RES_0046,Candidate_46,Business Analyst,"['MongoDB', 'Python', 'AWS', 'React', 'Git', 'Agile', 'Docker']",Master's in Statistics,9,"['Project_0_46', 'Project_1_46']",[],"Name: Candidate_46
            Target Position: Business Analyst
            Summary: Experienced professional with 9 years in the tech industry.
            Skills: MongoDB, Python, AWS, React, Git, Agile, Docker
            Education: Master's in Statistics
            Experience: 9 years
            Projects: Project_0_46, Project_1_46
            Certifications: None"
RES_0047,Candidate_47,Product Manager,"['NumPy', 'JavaScript', 'GraphQL', 'PyTorch', 'Agile']",Bachelor's in Engineering,9,"['Project_0_47', 'Project_1_47', 'Project_2_47', 'Project_3_47', 'Project_4_47']","['Azure Certified', 'PMP']","Name: Candidate_47
            Target Position: Product Manager
            Summary: Experienced professional with 9 years in the tech industry.
            Skills: NumPy, JavaScript, GraphQL, PyTorch, Agile
            Education: Bachelor's in Engineering
            Experience: 9 years
            Projects: Project_0_47, Project_1_47, Project_2_47, Project_3_47, Project_4_47
            Certifications: Azure Certified, PMP"
RES_0048,Candidate_48,Frontend Developer,"['Git', 'PostgreSQL', 'Agile', 'NumPy']",PhD in Engineering,12,"['Project_0_48', 'Project_1_48', 'Project_2_48', 'Project_3_48']",['AWS Certified'],"Name: Candidate_48
            Target Position: Frontend Developer
            Summary: Experienced professional with 12 years in the tech industry.
            Skills: Git, PostgreSQL, Agile, NumPy
            Education: PhD in Engineering
            Experience: 12 years
            Projects: Project_0_48, Project_1_48, Project_2_48, Project_3_48
            Certifications: AWS Certified"
RES_0049,Candidate_49,Software Engineer,"['Python', 'JavaScript', 'Java', 'TensorFlow', 'Git', 'Agile', 'PyTorch', 'MongoDB']",Bachelor's in Mathematics,0,"['Project_0_49', 'Project_1_49', 'Project_2_49', 'Project_3_49']","['Azure Certified', 'Scrum Master', 'Google Cloud Certified']","Name: Candidate_49
            Target Position: Software Engineer
            Summary: Experienced professional with 0 years in the tech industry.
            Skills: Python, JavaScript, Java, TensorFlow, Git, Agile, PyTorch, MongoDB
            Education: Bachelor's in Mathematics
            Experience: 0 years
            Projects: Project_0_49, Project_1_49, Project_2_49, Project_3_49
            Certifications: Azure Certified, Scrum Master, Google Cloud Certified"
RES_0050,Candidate_50,System Administrator,"['Python', 'NumPy', 'Kubernetes', 'MongoDB']",PhD in Physics,6,"['Project_0_50', 'Project_1_50', 'Project_2_50', 'Project_3_50', 'Project_4_50']",['Azure Certified'],"Name: Candidate_50
            Target Position: System Administrator
            Summary: Experienced professional with 6 years in the tech industry.
            Skills: Python, NumPy, Kubernetes, MongoDB
            Education: PhD in Physics
            Experience: 6 years
            Projects: Project_0_50, Project_1_50, Project_2_50, Project_3_50, Project_4_50
            Certifications: Azure Certified"
RES_0051,Candidate_51,Machine Learning Engineer,"['TensorFlow', 'Java', 'NumPy']",Master's in Mathematics,9,"['Project_0_51', 'Project_1_51', 'Project_2_51', 'Project_3_51', 'Project_4_51']","['Scrum Master', 'PMP', 'Google Cloud Certified']","Name: Candidate_51
            Target Position: Machine Learning Engineer
            Summary: Experienced professional with 9 years in the tech industry.
            Skills: TensorFlow, Java, NumPy
            Education: Master's in Mathematics
            Experience: 9 years
            Projects: Project_0_51, Project_1_51, Project_2_51, Project_3_51, Project_4_51
            Certifications: Scrum Master, PMP, Google Cloud Certified"
